MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,City,State,Location,Missing,Link
13039,,Jefferson City,,,1979,"Louisiana Department of Culture, Recreation and Tourism",29.92098,-90.115,,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Jefferson Ave and Magazine Street, in the median on Jefferson Ave. ",,http://www.hmdb.org/m.asp?m=13039
13167,,Shangarai Chasset - Gates of Mercy,,,,Jewish American Society for Historic Preservation,29.95852,-90.0702,,New Orleans,Orleans Parish,Louisiana,"Marker is on North Rampart Street, in the median. ",,http://www.hmdb.org/m.asp?m=13167
13501,,St. Louis Cemetery No. 1,,,1972,New Orleans Archdiocesan Cemeteries,29.95913,-90.07107,,New Orleans,Orleans Parish,Louisiana,Marker can be reached from Basin Street. ,,http://www.hmdb.org/m.asp?m=13501
13502,,The St. Charles Line,,,1981,"Department of Culture, Recreation and Tourism",29.94351,-90.1338,,New Orleans,Orleans Parish,Louisiana,"Marker is on South Carrollton Avenue, in the median. ",,http://www.hmdb.org/m.asp?m=13502
13503,,Town of Carrollton,,,1981,"Department of Culture, Recreation and Tourism",29.94419,-90.13292,,New Orleans,Orleans Parish,Louisiana,"Marker is on South Carrollton Avenue, 0 miles west of Maple Blvd., in the median. ",,http://www.hmdb.org/m.asp?m=13503
13504,,The Steamer New Orleans,,,1963,Department of Commerce and Industry,29.95682,-90.06254,,New Orleans,Orleans Parish,Louisiana,"Marker is on Decatur Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=13504
13699,,Marie Laveau,,,,,29.95908,-90.07128,,New Orleans,Orleans Parish,Louisiana,Marker can be reached from Basin Street. ,,http://www.hmdb.org/m.asp?m=13699
19020,,Pioneer Park,Museum of West Louisiana,,1993,"Kansas City Southern Railway Company, Mayor and Members of the Leesville City Council, and Volunteers of the Museum of West Louisiana",31.13543,-93.2621,803 South 3rd Street,Leesville,Vernon Parish,Louisiana,"Marker is on South 3rd Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=19020
20025,,Confederate Mass Grave,,,,The Texas and Louisiana OCR Societies,30.41823,-92.09233,,Sunset,St. Landry Parish,Louisiana,"Marker is at the intersection of Napoleon Avenue (State Highway 182) and State Highway 754, on the left when traveling west on Napoleon Avenue. ",,http://www.hmdb.org/m.asp?m=20025
20027,,Academy of the Sacred Heart,,,,,30.42975,-92.03883,,Grand Coteau,St. Landry Parish,Louisiana,"Marker is on Academy Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=20027
20954,,Congo Square,,,,National Park Service,29.96101,-90.06839,901 N. Rampart Street,New Orleans,Orleans Parish,Louisiana,,,http://www.hmdb.org/m.asp?m=20954
20965,,Lafayette Square,Place Lafayette,,1985,France-Amérique de la Louisiane,29.94851,-90.07075,,New Orleans,Orleans Parish,Louisiana,"Marker is on St. Charles Avenue, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=20965
21068,,Louis “Satchmo” Armstrong,1901-1971,Louis Armstrong Park,2008,National Park Service/Tourism Cares,29.96226,-90.06794,901 N. Rampart St.,New Orleans,Orleans Parish,Louisiana,Marker can be reached from St. Ann Street west of N. Rampart Street when traveling north. ,,http://www.hmdb.org/m.asp?m=21068
21456,,The Old Mortuary Chapel,,,,Louisiana Tourist Commission,29.95829,-90.07042,,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of North Rampart Street and Conti Street, in the median on North Rampart Street. ",,http://www.hmdb.org/m.asp?m=21456
21499,,Upper Pontabla Building,,Pontabla Buildings National Historic Landmark,1975,the Orleans Parrish Landmarks Commission and the National Park Service,29.95733,-90.06383,500 St. Peter Street,New Orleans,Orleans Parish,Louisiana,"Marker is on St. Peter Street south of Chartres Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=21499
21508,,The Cabildo,National Historic Landmark,Louisiana State Museum,1963,the Orleans Parish Landmarks Commission and the National Park Service,29.95754,-90.06384,701 Chartres Street,New Orleans,Orleans Parish,Louisiana,"Marker can be reached from the intersection of Chartres Street and St. Peter Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=21508
21548,,The French Opera House,,,,The Inn on Bourbon,29.95773,-90.06655,541 Bourbon Street,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Bourbon Street and Toulouse Street, on the right when traveling west on Bourbon Street. ",,http://www.hmdb.org/m.asp?m=21548
21552,,"Cathedral of St. Louis, King of France",,,1966,Orleans Parrish Landmarks Commission,29.95794,-90.06345,615 Pere Antoine Alley,New Orleans,Orleans Parish,Louisiana,"Marker is on Place John Paul II (Chartres Street), on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=21552
21557,,Molly Marine,10-Nov-43,"""Free a Marine to Fight""",1943,City of New Orleans,29.95591,-90.07359,,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Elk Place and Canal Street, in the median on Elk Place. ",,http://www.hmdb.org/m.asp?m=21557
21841,,French Market,,,1991,French Market Corporation,29.95969,-90.05959,1008 N. Peters Street,New Orleans,Orleans Parish,Louisiana,"Marker is on Ursulines Avenue east of N. Peters Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=21841
21859,,Jackson Square - Vieux Carré,National Historic Landmark,,,National Park Service,29.9577,-90.06339,,New Orleans,Orleans Parish,Louisiana,Marker is on Chartres Street (Place John Paul II) north of St. Paul Street. ,,http://www.hmdb.org/m.asp?m=21859
21987,,Sidney Joseph Bechet,1897-1959,,1997,Sidney Bechet Centennial Committee,29.96152,-90.06821,,New Orleans,Orleans Parish,Louisiana,Marker can be reached from North Rampart Street. ,,http://www.hmdb.org/m.asp?m=21987
22776,,Fort Pike,,,1954,Louisiana Department of Commerce and Industry,30.16682,-89.7373,,New Orleans,Orleans Parish,Louisiana,Marker can be reached from U.S. 90. <font color=red> Reported permanently removed.</font>,Confirmed Missing,http://www.hmdb.org/m.asp?m=22776
23649,,Autrey House,,,,,32.70087,-92.67539,8296 LA 151,Dubach,Lincoln Parish,Louisiana,"Marker is at the intersection of State Highway 151 and State Highway 152, on the right when traveling west on State Highway 151. ",,http://www.hmdb.org/m.asp?m=23649
23885,,Bienville Monument,Bienville Place,,1955,Louisiana Purchase Sesquicentennial Commission,29.95444,-90.06473,,New Orleans,Orleans Parish,Louisiana,"Marker can be reached from Decatur Street north of Conti Street, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=23885
24684,,The Washington Artillery Park,,American Revolution Bicentennial: 1776-1976,1976,Battalion Washington Artillery,29.95698,-90.06221,700 Decatur Street,New Orleans,Orleans Parish,Louisiana,"Marker is on Decatur Street east of St. Peter Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=24684
26137,,St. Alphonsus Church,,,,"Donated by the Dr. Paul O. Villien, Sr. Family",30.10742,-92.12517,8700 Maurice Avenue,Maurice,Vermilion Parish,Louisiana,"Marker is on Maurice Avenue (U.S. 167), on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26137
26140,,Saint Mary Magdalen Church,,,,,29.97453,-92.13797,300 Pere Megret Street,Abbeville,Vermilion Parish,Louisiana,"Marker is on Pere Megret Street (State Highway 14) near Washington Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=26140
28113,,United States Customhouse,,,1974,,29.9517,-90.06649,423 Canal Street,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Canal Street and Decatur/Magazine Street, on the right when traveling west on Canal Street. ",,http://www.hmdb.org/m.asp?m=28113
30753,,El Camino Real,King's Highway,San Antonio Trace,1951,State of Louisiana and Daughters of the American Revolution,31.48884,-93.70615,15091 Texas Highway,Many,Sabine Parish,Louisiana,"Marker is on Texas Highway (State Highway 6), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=30753
34602,,Colfax Riot,,,1950,Louisiana Department of Commerce and Industry,31.51663,-92.71285,300 Main St,Colfax,Grant Parish,Louisiana,Marker is at the intersection of Main Street (State Highway 8) and 2nd Street (State Route 8) on Main Street. <font color=red> Reported permanently removed.</font>,Confirmed Missing,http://www.hmdb.org/m.asp?m=34602
34742,,Battle of Liberty Place Monument,"""September 14th 1874""",,1891,City of New Orleans,29.95122,-90.06377,,New Orleans,Orleans Parish,Louisiana,Memorial can be reached from Iberville Street north of Canal Street. <font color=red> Reported permanently removed.</font>,Confirmed Missing,http://www.hmdb.org/m.asp?m=34742
34798,,Battle of Milliken’s Bend,,,1962,Louisiana Civil War Centennial Commission,32.43828,-91.12327,,Tallulah,Madison Parish,Louisiana,"Marker is at the intersection of Thomastown Road and Ashley Plantation Road, on the left when traveling north on Thomastown Road. <font color=red> Reported missing.</font>",Confirmed Missing,http://www.hmdb.org/m.asp?m=34798
34846,,Lower Pontalba Building,,Pontalba Buildings National Historic Landmark,,Orleans Parish Landmarks Commission,29.95827,-90.06299,523 St. Ann Street,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Chartres Street and St. Ann St., on the right when traveling west on Chartres Street. ",,http://www.hmdb.org/m.asp?m=34846
35056,,"Saint Augustine Church, New Orleans",,Louisiana African American Heritage Trail,,Archdiocesan Bicentennial Commission,29.96511,-90.06606,1210 Governor Nicholls Street,New Orleans,Orleans Parish,Louisiana,"Marker is on St. Claude Avenue south of Governor Nicholls Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=35056
35067,,Tomb of the Unknown Slave,,"St. Augustine Catholic Church, New Orleans",2004,The Faith Community of St. Augustine Catholic Church,29.96532,-90.06618,1210 Governor Nicholls Street,New Orleans,Orleans Parish,Louisiana,Marker is on Governor Nicholls Street north of St. Claude Avenue.. ,,http://www.hmdb.org/m.asp?m=35067
35091,,Fort Jackson,,,1963,Louisiana Department of Commerce and Industry,29.35235,-89.45703,,Buras-Triumph,Plaquemines Parish,Louisiana,"Marker is at the intersection of Louisiana Route 23 and Herbert Harvey Road, in the median on State Route 23. ",,http://www.hmdb.org/m.asp?m=35091
35124,,Faubourg Tremé,,,,Historic Tremé Cultural Alliance.,29.96922,-90.06838,,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Esplanade Avenue and No. Claiborne Avenue, in the median on Esplanade Avenue. ",,http://www.hmdb.org/m.asp?m=35124
37973,,England Air Force Base History,,,,,31.32583,-92.53,,Alexandria,Rapides Parish,Louisiana,"Memorial is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=37973
38287,,Post-Civil War Alexandria,,,,City of Alexandria,31.31102,-92.4442,,Alexandria,Rapides Parish,Louisiana,"Marker is on 3rd Street north of Johnston Street, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=38287
38288,,Kent Plantation House,,,,"In Memory of Mrs. Robert H. Bolton, President, 1968-70, Chairman, 1970-72.",31.30407,-92.48275,3601 Bayou Rapides Road,Alexandria,Rapides Parish,Louisiana,"Marker is on Bayou Rapides Road (State Highway 496) west of North MacArthur Drive (U.S. 71), on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=38288
38290,,Alexandria,,,1988,City of Alexandria,31.31113,-92.44436,,Alexandria,Rapides Parish,Louisiana,"Marker is on 3rd Street north of Johnston Street, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=38290
38291,,Thomas Courtland Manning,1825-1887,,,,31.3112,-92.44446,,Alexandria,Rapides Parish,Louisiana,"Marker is on 3rd Street south of Murray Street, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=38291
38292,,Alexandria Library,,,1990,Sponsored by Dorothy Tudor McWhorter,31.30912,-92.44476,503 Washington Street,Alexandria,Rapides Parish,Louisiana,"Marker is at the intersection of Washington Street and 5th Street, on the right when traveling north on Washington Street. ",,http://www.hmdb.org/m.asp?m=38292
38294,,Alexandria's Oldest Hospital,,,,Rapides Regional Medical Center,31.31429,-92.44981,,Alexandria,Rapides Parish,Louisiana,"Marker is at the intersection of Medical Center Drive and 4th Street, on the left when traveling north on Medical Center Drive. ",,http://www.hmdb.org/m.asp?m=38294
38319,,Commercial Building,Built c. 1915,,,,31.31086,-92.44401,201 Johnston Street,Alexandria,Rapides Parish,Louisiana,"Marker is at the intersection of 3rd Street and Johnston Street, on the left when traveling east on 3rd Street. ",,http://www.hmdb.org/m.asp?m=38319
38320,,Emmanuel Baptist Church,,,1992,Robert H. Bolton,31.31162,-92.44697,430 Jackson Street,Alexandria,Rapides Parish,Louisiana,"Marker is on Jackson Street west of 4th Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=38320
38321,,Louisiana Maneuvers,,,,Johnson Brown Post 1736 - Veterans of Foreign Wars,31.31213,-92.44508,,Alexandria,Rapides Parish,Louisiana,"Marker is on DeSoto Street north of 3rd Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=38321
38323,,The Hotel Bentley,,,,Sponsor: Dorothy Tudor McWhorter,31.3121,-92.44558,,Alexandria,Rapides Parish,Louisiana,"Marker is on 3rd Street west of DeSoto Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=38323
38324,,Old Rapides Bank Building,,,1987,Central Cities Development Corporation,31.31196,-92.44411,,Alexandria,Rapides Parish,Louisiana,"Marker is at the intersection of Main Street and Murray Street, on the right when traveling west on Main Street. ",,http://www.hmdb.org/m.asp?m=38324
38325,,Rapides Parish Governors,,,,"City of Alexandria, Louisiana",31.31177,-92.44416,,Alexandria,Rapides Parish,Louisiana,"Marker is at the intersection of Main Street and Murray Street, on the left when traveling west on Main Street. ",,http://www.hmdb.org/m.asp?m=38325
38326,,Red River,,,,Red River Waterway Commission,31.31241,-92.44374,,Alexandria,Rapides Parish,Louisiana,"Marker can be reached from Murray Street north of Main Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=38326
38327,,St. Francis Xavier Cathedral Complex,,,1988,Central Cities Development Corporation,31.31275,-92.44789,626 Fourth Street,Alexandria,Rapides Parish,Louisiana,"Marker is on 4th Street west of Elliott Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=38327
38328,,The Guaranty Eagles,,,,,31.31094,-92.44534,,Alexandria,Rapides Parish,Louisiana,"Marker is at the intersection of Murray Street and 4th Street, on the right when traveling south on Murray Street. ",,http://www.hmdb.org/m.asp?m=38328
38329,,The Jewish Cemetery,,,,Jewish Welfare Federation of Central Louisiana,31.31653,-92.43986,,Pineville,Rapides Parish,Louisiana,"Marker is on Main Street (U.S. 165) north of Hardtner Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=38329
38330,,National Hotel,Circa 1907,,,,31.14255,-93.26122,,Leesville,Vernon Parish,Louisiana,"Marker is at the intersection of 3rd Street and East Courthouse Street, on the left when traveling north on 3rd Street. ",,http://www.hmdb.org/m.asp?m=38330
38331,,First National Bank,Circa 1907,,,,31.14207,-93.26118,,Leesville,Vernon Parish,Louisiana,"Marker is at the intersection of 3rd Street and East Lula Street, on the left when traveling north on 3rd Street. ",,http://www.hmdb.org/m.asp?m=38331
38332,,Dreamland Theatre,Circa 1915,,,,31.14374,-93.26125,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Texas Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=38332
38333,,Great Louisiana Maneuvers,,,2004,The Vernon Parish Tourism Commission and the Vernon Parish Police Jury,31.14239,-93.26091,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Lula Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38333
38334,,Kansas City Southern Railroad Depot,,,,Leesville Downtown Historic Commission,31.13624,-93.26184,,Leesville,Vernon Parish,Louisiana,"Marker is at the intersection of 3rd Street and East Fertitta Boulevard, on the right when traveling north on 3rd Street. ",,http://www.hmdb.org/m.asp?m=38334
38335,,Merchants & Farmers Bank,Circa 1928,,,,31.14274,-93.26121,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street near East Courthouse Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=38335
38336,,Nichols-Howerton Building,,,,,31.14305,-93.26108,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Courthouse Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38336
38337,,The Leesville Hotel,Circa 1907,,,,31.14349,-93.2611,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Texas Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38337
38338,,The Lyons Building,Circa 1907,,,,31.14274,-93.26106,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Courthouse Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38338
38340,,The Nona Mills Lumber Company,,,2002,CLECO and the Vernon Parish Tourism Commission,31.14596,-93.25949,,Leesville,Vernon Parish,Louisiana,"Marker is at the intersection of Mechanic Street and North 1st Street, on the left when traveling east on Mechanic Street. ",,http://www.hmdb.org/m.asp?m=38340
38343,,The Red Hound Bar,Circa 1917,,,,31.1436,-93.26126,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Texas Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=38343
38344,,The Vernon Bank,,,,,31.14326,-93.26122,,Leesville,Vernon Parish,Louisiana,"Marker is at the intersection of 3rd Street and East Texas Street, on the left when traveling north on 3rd Street. ",,http://www.hmdb.org/m.asp?m=38344
38345,,Vernon Parish Courthouse,Circa 1910,,,,31.14231,-93.26089,,Leesville,Vernon Parish,Louisiana,"Marker can be reached from 3rd Street north of East Lula Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38345
38346,,Vernon Parish Founders,,,2001,Vernon Parish Tourism Commission and the Vernon Parish Police Jury,31.14226,-93.2609,,Leesville,Vernon Parish,Louisiana,"Marker is on 3rd Street north of East Lula Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38346
38347,,Vernon Parish Veterans' Memorial,,,,,31.14212,-93.26096,,Leesville,Vernon Parish,Louisiana,"Marker is at the intersection of 3rd Street and East Lula Street, on the right when traveling north on 3rd Street. ",,http://www.hmdb.org/m.asp?m=38347
38357,,5th Infantry Division (Mechanized),Operation Just Cause (Dec. 1989),,,American Legion Droddy Cain Post 145 & Veterans of Foreign Wars Old Stage Post 3106,31.04813,-93.21319,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38357
38359,,Second Brigade Soldiers,,,,,31.04814,-93.21313,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38359
38360,,The Seventh Armored Division,From the beaches to the Baltic,,1981,Seventh Armored Division Association,31.04164,-93.21236,,Fort Polk,Vernon Parish,Louisiana,"Marker is on South Carolina Avenue north of Bell Richard Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=38360
38361,,5th Infantry Division (Mechanized),Memorial Park,,,,31.04863,-93.21294,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38361
38362,,Global War on Terrorism Monument,,,,,31.04859,-93.21301,,Fort Polk,Vernon Parish,Louisiana,"Memorial can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38362
38363,,Camp Polk Heritage Families,,,,,31.04797,-93.21309,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38363
38364,,Peason Ridge Heritage Families,,,,,31.04798,-93.21314,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38364
38365,,2nd Armored Cavalry Regiment,,,2005,"Brigadier General Michael D. Barbero, Commander, Fort Polk and the JRTC",31.04864,-93.21305,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38365
38366,,Fort Polk,,,1990,Leesville-Vernon Chamber of Commerce,31.04849,-93.21274,,Fort Polk,Vernon Parish,Louisiana,"Marker can be reached from Louisiana Avenue east of Colorado Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=38366
38368,,The Red River Campaign,March 1864,,,,31.32108,-92.44955,135 Riverfront Street,Pineville,Rapides Parish,Louisiana,"Marker is on Riverfront Street west of Main Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=38368
38532,,Bailey's Dam,,,,,31.32108,-92.44955,135 Riverfront Street,Pineville,Rapides Parish,Louisiana,"Marker is on Riverfront Street west of Main Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=38532
38534,,The Dam Works,,,,,31.32108,-92.44955,135 Riverfront Street,Pineville,Rapides Parish,Louisiana,"Marker is on Riverfront Street west of Main Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=38534
38640,,Margaret's Place and Walk / Lower Garden District,,,,,29.94071,-90.07216,1133 Prytania Street,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of Prytania Street and Clio St., on the left when traveling south on Prytania Street. ",,http://www.hmdb.org/m.asp?m=38640
38901,,8 in. Columbaid Cannon,,,,Survivors of the Battallion Washington Artillery,29.94345,-90.07125,929 Camp Street,New Orleans,Orleans Parish,Louisiana,"Marker is on Camp Street, 0 miles Andrew Higgins Drive, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=38901
40487,,Touro Infirmary,1852,,2010,"Jewish American Society for Historic Preservation, Touro Infirmary, City of New Orleans",29.94113,-90.06449,1174 Convention Center Boulevard,New Orleans,Orleans Parish,Louisiana,"Marker is on Convention Center Boulevard near John Churchill Chase Street, in the median. ",,http://www.hmdb.org/m.asp?m=40487
