MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitued,StreetAddress,City,County,State,Location,Missing,Link
18805,,Prescott,,,1959,Prescott Rotary Club,34.54163,-112.47022,,Prescott,Yavapai County,Arizona,"Marker is on S. Montezuma Street (Arizona Route 89) near W. Gurley St and S. Montezuma St., on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=18805
18806,,Bashford Burmister Company,,,,Historic Preservation Fund and the City of Prescott,34.54175,-112.47017,130 W. Gurley Street,Prescott,Yavapai County,Arizona,Marker is on Gurley Street. ,,http://www.hmdb.org/m.asp?m=18806
18861,,Bicentennial Tree,,,1976,,34.53898,-112.4688,233 S. Cortez Street,Prescott,Yavapai County,Arizona,Marker is on S. Cortez Street. ,,http://www.hmdb.org/m.asp?m=18861
18862,,Hotel Vendome,,,,The City of Prescott,34.53897,-112.46892,230 S. Cortez St.,Prescott,Yavapai County,Arizona,"Marker is on Cortez Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=18862
18964,,"Oatman, Arizona",Elevation 2700 Feet,,,Oatman Arizona,35.02682,-114.38439,,Oatman,Mohave County,Arizona,"Marker is on Oatman Topock Hwy ( AZ 66 ) near Bannon Lane, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=18964
20292,,Bashford Block,,,,Historic Preservation Fund and the City of Prescott,34.54185,-112.46893,,Prescott,Yavapai County,Arizona,"Marker is on Gurley Street (Arizona Route 89) west of Cortez Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=20292
20295,,The Bank of Arizona and the Electric Buildings,,,,City of Prescott,34.5418,-112.46862,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of Gurley Street (Arizona Route 89) and Cortez Street, on the right when traveling east on Gurley Street. ",,http://www.hmdb.org/m.asp?m=20295
20296,,Head Hotel,,,,City of Prescott,34.54278,-112.46865,125 North Cortez Street,Prescott,Yavapai County,Arizona,Marker is on Cortez Street. ,,http://www.hmdb.org/m.asp?m=20296
20297,,Ruffner Plaza Stables,,,2003,City of Prescott and Ruffner descendants at the Ruffner family renunion in June 2003,34.53985,-112.46988,176 Goodwin Street,Prescott,Yavapai County,Arizona,Marker is on West Goodwin Street. ,,http://www.hmdb.org/m.asp?m=20297
20298,,Prescott,,,,,34.53977,-112.46914,105 West Goodwin Street,Prescott,Yavapai County,Arizona,Marker is on West Goodwin Street. ,,http://www.hmdb.org/m.asp?m=20298
20615,,The Mulvenon Building,,,,Historic Preservation Fund and the City of Prescott,34.54191,-112.47132,230 West Gurley Street,Prescott,Yavapai County,Arizona,"Marker is at the intersection of West Gurley Street and North Granite Street, on the right when traveling west on West Gurley Street. ",,http://www.hmdb.org/m.asp?m=20615
20616,,Site of Goldwater Brothers Mercantile,,,,Historic Preservation Fund and the City of Prescott,34.54076,-112.46853,,Prescott,Yavapai County,Arizona,Marker is at the intersection of South Cortez Street and East Union Street on South Cortez Street. ,,http://www.hmdb.org/m.asp?m=20616
20618,,Nob Hill,East Union Street,,,The City of Prescott,34.54071,-112.4671,220 Union Street,Prescott,Yavapai County,Arizona,Marker is at the intersection of East Union Street and South Marina Street on East Union Street. ,,http://www.hmdb.org/m.asp?m=20618
20619,,Site of the O'Neill/Munds House,,,,Historic Preservation Fund and the City of Prescott,34.54567,-112.46365,420 East Sheldon Street,Prescott,Yavapai County,Arizona,Marker is on East Sheldon Street. ,,http://www.hmdb.org/m.asp?m=20619
20621,,Hassayampa Inn,,,,The City of Prescott,34.54221,-112.4674,122 East Gurley,Prescott,Yavapai County,Arizona,"Marker is on East Gurley Street (Route 89) near Marina Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=20621
20622,,Montezuma Street,,,,Historic Preservation Fund and the City of Prescott,34.54094,-112.47019,,Prescott,Yavapai County,Arizona,Marker is on S. Montezuma Street (Arizona Route 89). ,,http://www.hmdb.org/m.asp?m=20622
20623,,Prescott's Beginnings: The First Mining District in Yavapai County,,,,Prescott Corral of Westerners International,34.54092,-112.47019,100 South Montezuma Street,Prescott,Yavapai County,Arizona,"Marker is on South Montezuma Street (Arizona Route 89), on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=20623
20737,31805,Chloride,,,,,35.39695,-114.25893,,Kingman,Mohave County,Arizona,"Marker is at the intersection of U.S. 93 and County Road 125, on the right when traveling north on U.S. 93. ",,http://www.hmdb.org/m.asp?m=20737
20740,,White Hills,Ghost Town of,,1961,Arizona Development Board,35.70033,-114.4744,,Dolan Springs,Mohave County,Arizona,"Marker is at the intersection of U.S. 93 and White Hills Road, on the right when traveling north on U.S. 93. ",,http://www.hmdb.org/m.asp?m=20740
20808,,Cerbat,,,1976,Mojave County Bicentennial Commission,35.28098,-114.17502,,Kingman,Mohave County,Arizona,"Marker is at the intersection of U.S. 93 and Golden Valley Drive, on the right when traveling north on U.S. 93. ",,http://www.hmdb.org/m.asp?m=20808
20809,,Mineral Park,,,1976,Mohave County Bicentennial Commission,35.32277,-114.20533,,Kingman,Mohave County,Arizona,"Marker is at the intersection of U.S. 93 and County Road 255, on the right when traveling north on U.S. 93. ",,http://www.hmdb.org/m.asp?m=20809
20811,,The Fire of 1900,,,,The Historic Preservation Fund and the City of Prescott,34.53975,-112.47035,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of South Montezuma Street (Arizona Route 89) and West Goodwin Street, on the right when traveling south on South Montezuma Street. ",,http://www.hmdb.org/m.asp?m=20811
20814,,The Carnegie Library,,,,Historic Preservation Fund and the City of Prescott,34.54161,-112.46756,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of East Gurley Street (Arizona Route 89) and Marina Street, on the left when traveling west on East Gurley Street. ",,http://www.hmdb.org/m.asp?m=20814
21161,,City Park and Ballfield,,,,The City of Prescott,34.54203,-112.46039,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of Gurley Street (Arizona Route 89) and Washington Street., on the right on Gurley Street. ",,http://www.hmdb.org/m.asp?m=21161
21163,,The Palace Saloon,,,,The City of Prescott,34.54137,-112.47025,120 South Montezuma Street,Prescott,Yavapai County,Arizona,"Marker is on South Montezuma Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=21163
21164,,Whiskey Row,,Historic Site,,City of Prescott and Arizona Historical Society,34.54137,-112.47025,120 South Montezuma Street,Prescott,Yavapai County,Arizona,"Marker is on South Montezuma Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=21164
21165,,Solon Hannibal Borglum America's First Cowboy Sculptor,1866 - 1922,,1982,Prescott Community Art Trust,34.54158,-112.46947,,Prescott,Yavapai County,Arizona,"Marker is on West Gurley Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=21165
21603,,Sacred Heart Catholic Church and Rectory,,,,The City of Prescott,34.54393,-112.46741,,Prescott,Yavapai County,Arizona,"Marker is on North Marina Street., on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=21603
21625,,Knights of Pythias Building,,,,Historic Preservation Fund and the City of Prescott,34.54161,-112.46858,105 South Cortez St.,Prescott,Yavapai County,Arizona,"Marker is on South Cortez Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=21625
21668,,Citizens Cemetery,,,,City of Prescott,34.54507,-112.45831,,Prescott,Yavapai County,Arizona,Marker is on East Sheldon Street. ,,http://www.hmdb.org/m.asp?m=21668
21966,,John Towhey,,,1970,,34.55174,-112.45183,Arizona Route 89,Prescott,Yavapai County,Arizona,"Marker is on Entrance to Bob Stump VA Medical Center, on the right. ",,http://www.hmdb.org/m.asp?m=21966
22686,,U.S. Army of the West — Mormon Battalion,"Longest Sustained March in U.S. Military History, 1846-1847",,2007,The U.S. Army of the West - Mormon Battalion Foundation,32.73111,-114.64565,,Yuma,Yuma County,Arizona,"Marker can be reached from 12th Avenue, ¾ mile west of Water Street. ",,http://www.hmdb.org/m.asp?m=22686
24108,,Patagonia Depot,,,,"City of Patagonia and Patagonia Rotary Club, and Arizona Historical Society",31.54054,-110.75317,,Patagonia,Santa Cruz County,Arizona,Marker is on McKeown Avenue near 3rd Avenue. ,,http://www.hmdb.org/m.asp?m=24108
24257,,Mowry Mine,,,,,31.54086,-110.75322,,Patagonia,Santa Cruz County,Arizona,"Marker is at the intersection of Naugle Avenue (Arizona Route 82) and Third Avenue (Arizona Route 82), on the left when traveling west on Naugle Avenue. ",,http://www.hmdb.org/m.asp?m=24257
24300,,Cady Hall,Patagonia Hotel,Historic Site,,Patagonia Woman's Club and Arizona Historical Society,31.53875,-110.75391,346 Duquesne Avenue,Patagonia,Santa Cruz County,Arizona,"Marker is on Duquesne Avenue near 4th Avenue, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=24300
24436,,John Ward's Ranch,,,1991,Interested Residents of the Region and Arizona Historical Society,31.51143,-110.79847,,Patagonia,Santa Cruz County,Arizona,"Marker is on Patagonia Highway (Arizona Route 82 at milepost 16), on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=24436
26197,,Cottonwood Lane,,,,"The Conservation Dept., Tucson Womens Club",32.2599,-110.87352,,Tucson,Pima County,Arizona,Marker can be reached from Cottonwood Lane near North Craycroft Road. ,,http://www.hmdb.org/m.asp?m=26197
26288,,El Conquistador Water Tower,,,,Tucson-Pima County Historical Commission,32.22062,-110.91917,,Tucson,Pima County,Arizona,"Marker is on East Broadway Boulevard, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=26288
26344,,Warner's Mill,,,,Tucson-Pima County Historical Commission,32.2139,-110.98818,,Tucson,Pima County,Arizona,Marker can be reached from the intersection of Mission Road and Mission Lane. <font color=red> Reported missing.</font>,Confirmed Missing,http://www.hmdb.org/m.asp?m=26344
26386,,Old Main,,,,Tucson-Pima County Historical Commission and Arizona Historical Society,32.23188,-110.95324,,Tucson,Pima County,Arizona,Marker can be reached from East University Boulevard. ,,http://www.hmdb.org/m.asp?m=26386
26394,,"Padre-Eusebio-Francisco-Kino, S.J.",,,1936,Kino Memorial Association,32.22287,-110.97507,255 West Alameda Street,Tucson,Pima County,Arizona,"Marker is on West Alameda Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=26394
26399,,Tucson Old Walled City,,,1936,The Daughters of the American Revolution (DAR),32.22295,-110.97505,255 West Alameda,Tucson,Pima County,Arizona,"Marker is on West Alameda Street near North Main Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=26399
26425,,Arizona's U.S.S. Arizona Memorial - In Memory of the Gallant Men,"Who Gave Their Lives on December 7, 1941 on the Battleship U.S.S. Arizona",During the Attack on Pearl Harbor,1976,,33.44814,-112.09316,1616 West Adams Street,Phoenix,Maricopa County,Arizona,Marker is on Adams Street. ,,http://www.hmdb.org/m.asp?m=26425
26442,,Temple of Music and Art,,,,Tucson – Pima County Historical Commission and Arizona Historical Society,32.21797,-110.96967,330 South Scott Avenue,Tucson,Pima County,Arizona,"Marker is on South Scott Avenue, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26442
26460,,N.E. Corner Adobe Wall of Spanish Presidio of Tucson,,,1926,Tucson chapter of the Daughters of the American Revolution,32.22457,-110.9733,Washington Street,Tucson,Pima County,Arizona,Marker can be reached from the intersection of North Church Avenue and Washington Street. ,,http://www.hmdb.org/m.asp?m=26460
26461,,S. E. Corner Adobe Wall of Spanish Presidio of Tucson,,,1922,Tucson Chapter – Daughters of the American Revolution,32.22283,-110.97298,115 North Church Avenue,Tucson,Pima County,Arizona,Marker can be reached from North Church Avenue. ,,http://www.hmdb.org/m.asp?m=26461
26462,,N. W. Corner Adobe Wall of Spanish Presidio of Tucson,,,1926,Tucson Chapter Daughters of the American Revolution,32.22418,-110.97575,,Tucson,Pima County,Arizona,"Marker is at the intersection of North Main Avenue and West Washington Street, on the right when traveling north on North Main Avenue. ",,http://www.hmdb.org/m.asp?m=26462
26610,,U.S.S. Arizona Signal Mast,In Memory of the Crew of the U.S.S. Arizona (BB39),,1990,U.S.S. Arizona Signal Mast Committee,33.44813,-112.0938,1501 West Washington Street,Phoenix,Maricopa County,Arizona,Marker can be reached from West Washington Street. ,,http://www.hmdb.org/m.asp?m=26610
26621,,In Memory of Tom Mix,,,,,32.82148,-111.20353,,Florence,Pinal County,Arizona,"Marker is on Arizona Route 79 at milepost 115, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26621
26623,,Florence High School,,,,Town of Florence and Arizona Historical Society,33.0224,-111.38778,1000 South Main Street,Florence,Pinal County,Arizona,"Marker is on South Main Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26623
26625,,Truman – Randell House,,,,Town of Florence and Arizona Historical Society,33.02685,-111.3877,550 South Main Street,Florence,Pinal County,Arizona,"Marker is on South Main Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26625
26626,,Elmer Coker House,Historic Site,,,,33.03063,-111.3876,100 South Main Street,Florence,Pinal County,Arizona,"Marker is on South Main Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26626
26627,,The First Presbyterian Church of Florence,1931,,1999,Town of Florence and Arizona Historical Society,33.0311,-111.38505,225 East Butte Avenue,Florence,Pinal County,Arizona,"Marker is on East Buttle Avenue near Orlando Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=26627
26661,,Poston's Butte,Historic Site,,1986,Pinal County Historical Society and Arizona Historical Society,33.05543,-111.37925,,Florence,Pinal County,Arizona,"Marker is on North Pinal Parkway (State Highway 79) 0.1 miles south of East Hunt Highway, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26661
26662,,Chas. D. Poston,The Father of Arizona,,1925,State of Arizona in Conjunction with Maricopa Chapter Daughters of the American Revolution,33.05507,-111.40853,,Florence,Pinal County,Arizona,"Marker can be reached from East Hunt Highway, 2 miles west of Arizona Highway 79, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=26662
26664,,Bear Down,,,2001,Arizona Department of Transportation,33.05545,-111.37925,,Florence,Pinal County,Arizona,"Marker is on Arizona Route 79, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26664
26665,,Silver King Florence Hotel,,,1986,Town of Florence and Arizona Historical Society,33.03583,-111.38755,,Florence,Pinal County,Arizona,"Marker is at the intersection of North Main Street and Ruggles Avenue, on the left when traveling north on North Main Street. ",,http://www.hmdb.org/m.asp?m=26665
26672,,"Tom Mix & Tony, Jr.",,,1994,Pinal County Historical Society,33.02507,-111.38735,715 South Main Street,Florence,Pinal County,Arizona,"Marker is on South Main Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26672
26682,,Conrad Brunenkant Building,,,1990,Town of Florence and Arizona Historical Society,33.03425,-111.38677,291 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street near 8th Street, on the right. ",,http://www.hmdb.org/m.asp?m=26682
26683,,Jesus Martinez House,,,1980,Town of Florence and Arizona Historic Society,33.03467,-111.38678,321 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26683
26687,,Assumption of the Blessed Virgin Mary Catholic Church,,,,Town of Florence and Arizona Historical Society,33.0343,-111.3852,221 East 8th Street,Florence,Pinal County,Arizona,"Marker is on East 8th Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=26687
26689,,La Capilla del Gila,First church of the Assumption,,,Pinal County Historical Society and Arizona Historical Society,33.03432,-111.3848,223 East 8th Street,Florence,Pinal County,Arizona,"Marker is on East 8th Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=26689
26708,,E.N. Fish & Co. Store,Historic Site,,1986,Town of Florence and Arizona Historical Society,33.03583,-111.38867,420 North Quartz Street,Florence,Pinal County,Arizona,"Marker is on North Quartz Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26708
26709,,Levi Ruggles,Founder of Florence,Historic Site,,Pinal County Historical Society and Arizona Historical Society,33.03605,-111.38882,,Florence,Pinal County,Arizona,"Marker is on West Ruggles Avenue, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=26709
26710,,George A. Brown House,Historical Site,,,Town of Florence and Arizona Historical Society,33.0359,-111.38907,125 West Ruggles Avenue,Florence,Pinal County,Arizona,"Marker is on West Ruggles Avenue, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=26710
26712,,George-Brockway House,Historic Site,,,,33.02688,-111.39043,501 South Central Avenue,Florence,Pinal County,Arizona,"Marker is on South Central Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26712
26717,,E. N. Fish & Co. Store,,,1986,Town of Florence and Arizona Historical Society,33.03552,-111.38735,520 North Main Steet,Florence,Pinal County,Arizona,"Marker is on North Main Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26717
26718,,Charles Rapp Saloon,,,1989,Town of Florence and Arizona Historical Society,33.03505,-111.38735,363 North Main Street,Florence,Pinal County,Arizona,"Marker is on North Main Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26718
26733,,Mauk Building,,,,Town of Florence and Arizona Historical Society,33.03473,-111.3875,360 North Main Street,Florence,Pinal County,Arizona,"Marker is on North Main Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26733
26734,,C. G. Powell People's Store,,,1999,Town of Florence and Arizona Historical Society,33.03423,-111.3875,290 North Main Street,Florence,Pinal County,Arizona,"Marker is on North Main Street near 8th Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26734
26735,,White-McCarthy Lumber and Hardware Company,1914,,1999,Town of Florence and Arizona Historical Society,33.03408,-111.38748,280 North Main Street,Florence,Pinal County,Arizona,"Marker is on North Main Street near 8th Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26735
26736,,Juan Avenenti Building,,,1983,Florence Industrial Development Authority and Arizona Historical Society,33.03417,-111.38733,289 North Main Street,Florence,Pinal County,Arizona,"Marker is on North Main Street near 8th Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26736
26737,,William Clark House,,,1986,Town of Florence and Arizona Historical Society,33.03332,-111.38758,190 North Main Street,Florence,Pinal County,Arizona,"Marker is on North Main Street near 10th Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=26737
26744,,John P. Clum House,,,1986,Town of Florence and Arizona Historical Society,33.03308,-111.38808,180 North Granite Street,Florence,Pinal County,Arizona,"Marker is on North Granite Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26744
26746,,Florence Woman's Club,,,,Town of Florence and Arizona Historical Society,33.03348,-111.38925,231 North Willow Street,Florence,Pinal County,Arizona,"Marker is on North Willow Street near 10th Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26746
26747,,Sam Kee Residence,,,1989,Town of Florence and Arizona Historical Society,33.0332,-111.38615,171 North Pinal Street,Florence,Pinal County,Arizona,"Marker is on North Pinal Street near 10th Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26747
26748,,Jacob Suter House,,,1986,Town of Florence and Arizona Historical Society,33.03412,-111.38634,270 North Pinal Street,Florence,Pinal County,Arizona,"Marker is on North Pinal Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26748
26790,,Denier & Richmond General Merchandise Store,,,1986,Town of Florence and Arizona Historical Society,33.03243,-111.3876,110 North Main Street,Florence,Pinal County,Arizona,"Marker is on West 12th Street near North Main Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=26790
26791,,Jesus Preciado de Luna/Bernardina Loroña Residence,,,1999,Town of Florence and Arizona Historical Society,33.03283,-111.38676,115 East 11th Street,Florence,Pinal County,Arizona,"Marker is at the intersection of East 11th Street and North Baily Street, on the left when traveling west on East 11th Street. ",,http://www.hmdb.org/m.asp?m=26791
26792,,John Nicholas Saloon and Beer Hall,,,1986,Town of Florence and Arizona Historical Society,33.03296,-111.38706,46 East 11th Street,Florence,Pinal County,Arizona,"Marker is on East 11th Street near North Baily Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=26792
26793,,Nicholas Residence,1880,,1999,Town of Florence and Arizona Historical Society,33.03312,-111.38696,180 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26793
26794,,John Nicholas Building,1886,,1999,Town of Florence and Arizona Historical Society,33.03326,-111.38694,192 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26794
26795,,Elena Llescas House,,,1989,Town of Florence and Arizona Historical Society,33.03302,-111.38677,175 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26795
26800,,Cosgrove House,,,1986,Town of Florence and Arizona Historical Society,33.03327,-111.38676,191 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26800
26802,,"Spinas ""Rental House""",1913,,1999,Town of Florence and Arizona Historical Society,33.03354,-111.38677,221 North Baily Street,Florence,Pinal County,Arizona,"Marker is on North Baily Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26802
26803,,John Keating House,,,,,33.03362,-111.38938,234 North Willow Street,Florence,Pinal County,Arizona,"Marker is on North Willow Street near 9th Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=26803
26804,,Aquiles Arriola Square,,,1986,Town of Florence and Arizona Historical Society,33.03315,-111.38737,,Florence,Pinal County,Arizona,"Marker is on North Main Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=26804
26805,,Ghost Town of Adamsville,,,1965,"Arizona Development Board, Arizona Highway Department",33.00533,-111.44452,,Florence,Pinal County,Arizona,"Marker is at the intersection of Florence-Coolidge Highway (State Highway 287) and East Adamsville Road, on the right when traveling west on Florence-Coolidge Highway. ",,http://www.hmdb.org/m.asp?m=26805
26823,,Navajo Code Talkers,United States Marine Corps - World War II,,2008,"Navajo Code Talker Memorial Foundation, Arizona Public Servce and Arizona Chapter Assoc. General Contractors",33.44812,-112.09503,1600 West Adams,Phoenix,Maricopa County,Arizona,Marker can be reached from Adams Street. ,,http://www.hmdb.org/m.asp?m=26823
26830,,Father Albert Braun O.F.M.,"Born September 5, 1889 Died March 6, 1983",,,Friends of Father Albert Braun,33.44826,-112.09431,1600 West Adams,Phoenix,Maricopa County,Arizona,Marker can be reached from West Adams Street. ,,http://www.hmdb.org/m.asp?m=26830
26926,,Titan II Intercontinental Ballistic Missile Museum,,,1994,Tucson-Pima County Historical Commission,31.90273,-110.99898,1580 West Duval Mine Road,Green Valley,Pima County,Arizona,Marker can be reached from West Duval Mine Road. ,,http://www.hmdb.org/m.asp?m=26926
27077,,"Eusebio Francisco Kino, S. J.",1645-1711,,,,32.23315,-110.95765,949 East 2nd Street.,Tucson,Pima County,Arizona,"Marker is on East 2nd Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=27077
27078,1991,Coronado Hotel,,,,Downtown Development Corporation of Tucson,32.22373,-110.9653,402 East 9th Street,Tucson,Pima County,Arizona,"Marker is on East 9th Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=27078
27079,,Commemorating Jacob Isaacson,Pioneer Settler,1880,1953,Pimeria Alta Historical Society,31.33457,-110.94047,,Nogales,Santa Cruz County,Arizona,"Marker is on North Morley Avenue, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=27079
27082,,Montezuma Hotel,,,,Pimeria Alta Historical Society and Arizona Historical Society,31.33435,-110.94063,96 North Morley Avenue,Nogales,Santa Cruz County,Arizona,"Marker is on North Morley Avenue, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=27082
27085,,Padre Eusebio Francisco Kino SJ,,,,,31.35048,-110.92828,123 West Kino Park Place,Nogales,Santa Cruz County,Arizona,Marker can be reached from West Kino Park Place. ,,http://www.hmdb.org/m.asp?m=27085
27113,,Grand Ave - Frank Reed School,1928 - 1952,,1996,"Primeria Alta Historical Society & City of Nogales, Arizona",31.34905,-110.92875,,Nogales,Santa Cruz County,Arizona,"Marker is at the intersection of North Grand Avenue and North Santa Cruz Street, on the right when traveling south on North Grand Avenue. ",,http://www.hmdb.org/m.asp?m=27113
27114,,Camp Crittenden,,,1968,Arizona Highway Department,31.6587,-110.6971,,Sonoita,Santa Cruz County,Arizona,"Marker is on Arizona Route 82 at milepost 29.5, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=27114
27117,,San Ignacia del Babocomari,Mexican Land Grant,,1964,Arizona Development Board & Arizona Highway Department,31.72377,-110.52032,,Sonoita,Santa Cruz County,Arizona,"Marker is on Arizona Route 82 at milepost 41, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=27117
27119,,Tubac,,,1982,Arizona Department of Transportation Highways Division,31.60798,-111.04942,,Tubac,Santa Cruz County,Arizona,,,http://www.hmdb.org/m.asp?m=27119
27142,,Tubac Schools,,,,Tubac Historical Society and the Arizona Historical Society,31.61235,-111.04677,,Tubac,Santa Cruz County,Arizona,"Marker is on Calle Iglesia, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=27142
